VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1N4AZ0CP4D,King,Shoreline,WA,98133,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,32,177839763,POINT (-122.342434 47.736655),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020700
5YJYGDEE3L,King,Kirkland,WA,98033,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,48,109148805,POINT (-122.1925969 47.676241),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022603
7FCTGBAA7P,Kitsap,Poulsbo,WA,98370,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,262803131,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090400
5YJ3E1EB8J,Snohomish,Lake Stevens,WA,98258,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,39,301387985,POINT (-122.0816912 48.0122934),PUGET SOUND ENERGY INC,53061053505
4JGGM1CB4P,King,Bellevue,WA,98004,2023,MERCEDES-BENZ,EQE-CLASS SUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48,245487007,POINT (-122.202397 47.619252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024001
5YJXCDE28H,King,Seattle,WA,98178,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,37,145671774,POINT (-122.2453 47.499708),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011901
YV4ED3UM3P,Thurston,Olympia,WA,98512,2023,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,252048100,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011821
5YJYGDEE0M,King,Redmond,WA,98052,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45,150172697,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032330
5YJYGDEE4L,King,Kirkland,WA,98034,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,1,114371673,POINT (-122.2026532 47.7210518),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203
JTMABACA8P,Clark,Vancouver,WA,98664,2023,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,49,232782455,POINT (-122.575383 45.620105),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041206
3FMTK3SU6P,King,Redmond,WA,98052,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45,252320239,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032323
7SAYGDEF4P,Kitsap,Kingston,WA,98346,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,254990354,POINT (-122.5178351 47.7981436),PUGET SOUND ENERGY INC,53035090102
7SAYGDEE1R,King,Bellevue,WA,98004,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48,265920063,POINT (-122.202397 47.619252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023805
5YJXCAE22G,Kitsap,Bainbridge Island,WA,98110,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,23,216767022,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035090902
KNDCE3LG3N,Clark,Battle Ground,WA,98604,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,18,179053710,POINT (-122.5256203 45.7875036),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040407
7SAYGDEE4P,King,Seattle,WA,98103,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,46,244221358,POINT (-122.3499053 47.673887),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002700
1G1FZ6S07N,Kitsap,Bremerton,WA,98310,2022,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,216839969,POINT (-122.6231895 47.5930874),PUGET SOUND ENERGY INC,53035080101
5YJSA1E25J,King,Renton,WA,98059,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,11,289930637,POINT (-122.134502 47.492627),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025601
1G1FW6S00L,Snohomish,Lake Stevens,WA,98258,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,44,258969518,POINT (-122.0816912 48.0122934),PUGET SOUND ENERGY INC,53061052505
7SAYGDEE8P,Clark,Vancouver,WA,98686,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,49,251961874,POINT (-122.626623 45.711724),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040803
WVGTMPE21M,King,Seattle,WA,98117,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36,166911804,POINT (-122.377938 47.690166),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002900
KNDPYDDH8R,Jefferson,Port Townsend,WA,98368,2024,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,0,24,266539731,POINT (-122.7862046 48.1129794),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950501
1G1FY6S04L,King,Bellevue,WA,98006,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,41,147119458,POINT (-122.144149 47.560742),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024905
YV4ED3UB0N,King,Kenmore,WA,98028,2022,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,46,195225026,POINT (-122.2478069 47.75817),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021600
